標題,網址,內文
中西醫合治糖尿病 應在疾病早期就開始,https://www.ca2-health.com/mets?p=2557,檢查發現，他的血糖382 mg/dL，糖化血色素2%，診斷為糖尿病。李先生問：「糖尿病不就是消渴症嗎？那我現在應該怎麼進補？」李太太埋怨他光想著吃，並說：「糖尿病是要控制飲食的，你說是不是？」李先生的弟弟接受糖尿病治療已有多年，他插嘴說：「我有糖尿病，但什麼症狀都沒有，還變胖呢！糖尿病不是消渴啦！」你一言我一語，診間裡好不熱鬧。 糖尿病自古就有，患者還在持續增加中 中醫的消渴方，並非適合所有糖尿病患 當糖尿病患沒有消渴表現時，治療消渴的處方就不見得適合了。從中醫的角度而言，第2型糖尿病前期至初期，病患體型傾向肥胖，容易倦怠，表現的證型是氣虛痰濕。這個情形就像一部引擎馬力不足的貨車，面對逐漸增多的載貨量及日漸泥濘的道路，自是無法順暢行駛。一開始可能是多開幾趟來達成預定的載送量，但車子的性能漸漸會感覺力不從心了。此時只是氣虛痰濕，尚不屬於消渴的範疇，中醫治療的主要方法為「健脾益氣、理氣化濁」。若以貨車來比喻，可說是從暢通引擎的輸油管路及改善道路品質來提高車子的行車效能。 治療糖尿病，中西醫使用的方法大不同 比較中西醫治療，西醫針對血糖的治療是改善引擎馬力不足的問題，較為直接，中醫的治療方式就有點拐彎抹角，然而在尚未出現能直接降血糖藥物的19世紀之前，相較於西醫束手無策的無奈，卻也不失為別出心裁的方案。 治療要有效，中西醫結合越早開始越好 大凡我們買了新車，即使性能正常，里程數一到，也會送廠保養，可是對於自己的身體卻往往要等到後期，口服降血糖藥效果不彰，建議要使用胰島素時，才想試試中醫是否有回春妙手，能否救回瀕臨喪失的胰島腺功能。這就好像一部因使用過度，引擎已接近完全損壞的車子，才希望保養廠上上潤滑油之後還能再開個十幾二十萬公里，豈不令人啞然失笑。所以，中西醫結合治療應始於早期而非晚期。 中醫調理的長處也不是降低血糖數值。中醫善於觀察神色舌脈，乃是從微細的跡象去觀察身體運作的順暢與否。檢驗數據就好像汽車修配廠利用儀器去檢測車子的性能，但除此 之外，經驗豐富的老師傅可以聽聽引擎聲、轉轉方向盤、踩踩煞車的鬆緊感，去體會車子是否不順，而不是光看數據上所呈現的馬力有多強，扭力有多大。雖然間或可能因為調節之後使引擎性能大幅提升，正如有些患者結合中醫調理而使血糖大幅改善，但那並不是我們的目的。簡言之，結合中醫治療的要點是希望身體機能運作得更為順暢，若純粹只是為了降血糖，西藥還是比較能夠直接見效。 防病於未然，部分中藥有益於及早養生 中醫部分藥物也有降血脂、抗血小板凝集的功效，且因中藥來自天然，部分藥物可從養生的立場作為健康食品提供病患及早使用。此外，西醫目前已知的機轉也只能除去部分障礙，關於這一部份，博大的中醫藥寶庫或許還能提供額外的助力，是未來進一步研究的要點
什麼是妊娠性糖尿病,https://www.ca2-health.com/obst?p=1716,糖尿病是由於體內胰臟所分泌的胰島素不夠，以致身體無法利用食物所供應的糖份作為能量。過多的糖份累積於血液中，導至血糖上升，多餘的糖份從尿液中排出，就稱為「糖尿病」，其特徵為高血糖及糖尿。懷孕期間的糖尿病可分成二種： 以前篩檢妊娠性糖尿病，都採用「二階段篩檢法」，就是先喝50公克糖水後抽血糖有異常者，再進行100公克口服葡萄糖水3小時耐受測試。 目前比較新的做法，是做「一階段妊娠糖尿病篩檢」，這是根據「國際妊娠糖尿病研究小組」及「第六屆國際糖尿病大會」的建議，都採用這種方法。 妊娠性糖尿病篩檢不在健保給付的產檢項目中，所以孕婦必須自費，包括材料費（含糖水）、檢驗費及諮詢費用約600元。 「一階段妊娠糖尿病篩檢」的檢查流程如下： 如果孕婦三次抽血數值有任何一次的血糖值大於標準值，則診斷為妊娠性糖尿病，指示進行血糖控制。 診斷為妊娠性糖尿病患者，先不要過度擔心，配合，大多數孕婦都可以安全的生下寶寶。 首先，須掛營養諮詢門診接受專業指導，學習正確的飲食方式；在不影響胎兒生長的情況下，控制熱量的攝取，尤其澱粉類和甜食的攝取量比例上須予以降低，其次適量的運動對血糖的控制也有幫助。 如果飲食控制仍無法有效降低血糖值，才會考慮施打胰島素控制血糖。 【撰文/ 婦產部 】
什麼是妊娠糖尿病,https://www.ca2-health.com/mets?p=1639,糖尿病是由於體內胰臟所分泌的胰島素不夠，以致身體無法利用食物所供應的糖份作為能量。過多的糖份累積於血液中，導至血糖上升，多餘的糖份從尿液中排出，就稱為「糖尿病」，其特徵為高血糖及糖尿。懷孕期間的糖尿病可分成二種： 一階段妊娠性糖尿病篩檢 以前篩檢妊娠性糖尿病，都採用「二階段篩檢法」，就是先喝50公克糖水後抽血糖有異常者，再進行100公克口服葡萄糖水3小時耐受測試。 目前比較新的做法，是做「一階段妊娠糖尿病篩檢」，這是根據「國際妊娠糖尿病研究小組」及「第六屆國際糖尿病大會」的建議，都採用這種方法。 妊娠性糖尿病篩檢不在健保給付的產檢項目中，所以孕婦必須自費，包括材料費（含糖水）、檢驗費及諮詢費用約600元。 「一階段妊娠糖尿病篩檢」的檢查流程如下： 「一階段妊娠糖尿病篩檢」血糖標準值如下表： 如果孕婦三次抽血數值有任何一次的血糖值大於標準值，則診斷為妊娠性糖尿病，指示進行血糖控制。 診斷為妊娠性糖尿病患者，先不要過度擔心，配合，大多數孕婦都可以安全的生下寶寶。 首先，須掛營養諮詢門診接受專業指導，學習正確的飲食方式；在不影響胎兒生長的情況下，控制熱量的攝取，尤其澱粉類和甜食的攝取量比例上須予以降低，其次適量的運動對血糖的控制也有幫助。 如果飲食控制仍無法有效降低血糖值，才會考慮施打胰島素控制血糖。 【撰文/ 婦產部 】
生酮飲食、低醣飲食才能有效治療糖尿病？,https://www.ca2-health.com/mets?p=3106,生酮飲食(Ketogenic Diet)，是一種超低醣、低蛋白、高脂肪的飲食。藉著降低碳水化合物的攝取量，強迫身體從燃燒葡萄糖為主轉換為燃燒脂肪而產生酮體作為能量來源，現坊間流行之減重方式之一種。 當人被限制醣量攝取，身體因熱量需求轉而消耗脂肪，所產生的代謝物其中之一就是酮體，在一般人長時間未進食也會產生酮體。雖在身體必要時酮體可做為維生的能量來源，但當一般人，尤其是糖尿病人胰島素不足或晚期糖尿病病人因對胰島素產生阻抗(也就是身體對胰島素沒有反應)，二者所產生之高血糖時，身體細胞無法有效利用葡葡糖為能量來源，轉而代謝脂肪，體內會出現大量的酮體，過多的酮體會使身體酸鹼值改變，嚴重時可能會發生致命的酮酸中毒之風險。如果病人又進行生酮飲食，則可能加重病情病化。 糖尿病治療最重要就是良好及穩定的血糖管理，定時定量攝取醣類有助於維持血糖穩定，輕易或自行改變飲食方式或斷食，有可能造成低血糖或上述之酮酸中毒之風險，嚴重者甚至可能會休克，甚至危及生命。 、配合，選擇適當的健康飲食，每日攝取適量的醣類，對於病人血糖控制、體重管理及降低合併症風險，都是有效的。除了飲食控制外，糖尿病人應規律運動、戒菸、體重控制，並定期監測血糖，了解自己的血糖狀況，、配合，調整藥物使用和飲食，才能有效控糖及減少糖尿病併發症發生之風險。 資料來源：衛生福利部國民健康署
何謂糖尿病,https://www.ca2-health.com/aging?p=2748,【編輯/ 蔡秉宸 繪製/林世豪】
何謂糖尿病,https://www.ca2-health.com/cvd?p=1151,"何謂糖尿病？ 一種以血糖上升為特點的慢性代謝性疾病，體內因胰島素分泌不足或胰島素作用障礙(抗阻)，使得葡萄糖無法有效率的進入細胞內被利用，而引起血液葡萄糖濃度增高的疾病，典型的症狀為吃多、喝多、尿多、體重減少（三多一少），因病人尿中有糖份，因此稱為糖尿病。 什麼是胰島素？ 胰島素是胰臟(位於胃後方)的貝它細胞所製造的賀爾蒙，可將血液中的葡萄糖帶入細胞內，因此，可降低血液中葡萄糖的濃度。 胰臟的位置及構造 胰島素於西元1921年由加拿大多倫多大學班亭(Banting,圖右)及其助理倍斯特(Best,圖左)從狗的胰臟分離出來。因為胰島素的發現，第1型糖尿病患者得以存活，此劃時代的偉大發現，1923年班亭榮獲諾貝爾獎。目前，美國糖尿病學會也設立「班亭獎」，頒給當年對糖尿病研究最有貢獻的學者。 西元1922年3歲的湯瑪斯為全世界第一位接受胰島素治療的第1型糖尿病患者，從圖片可以很明顯看出，數週後湯瑪斯由乾乾癟癟變成白白胖胖的小男孩。 何謂糖化血色素？ 糖化血色素是血液中葡萄糖附著在紅血球的血紅素上的量(單位%)，血液中的葡萄糖濃度愈高，附著在紅血球的血紅素上的量也會愈多，因此，糖化血色素也會愈高。因為，紅血球壽命大約2-3個月，所以，糖化血色素可反映過去2-3個月血糖的高低。目前全世界都是以糖化血色素作為血糖控制良好與否的標準，一般而言，應小於7 %，但年紀輕，罹病時間短，且無其它重大疾病，無心血管疾病的患者，糖化血色素應控制在5%以下。但年紀大，罹病時間長，有其它重大疾病，或心血管疾病的患者，糖化血色素只要控制在8%以下即可。 糖尿病可分成那幾型？ （1）第1型糖尿病：通常30歲前發病，為一種自體免疫疾病，多數患者體內抗體呈陽性，胰島素分泌極度不足，容易發生酮酸中毒，需終身補充胰島素。 （2）第2型糖尿病：通常40歲後發病，病人通常體重過重，且有明顯家族史，體內有胰島素抗阻現象，不易發生酮酸中毒，一般可用口服降血糖藥物控制，但罹病10-15年後，很多人也會胰島素分泌不足，需補充胰島素。 （3）其他型：有明確原因如胰臟炎、藥物、內分泌疾病等疾病造成的糖尿病。 （4）妊娠糖尿病：懷孕時才發現或發病的糖尿病，一般產後血糖會恢復正常，但將來發生第2型糖尿病的機率很高。 我如何知道自已血糖的高低？ 可以使用血糖機作自我血糖監測，了解血糖的變化，作為調整飲食、運動、藥物的依據。 【撰文/ 新陳代謝科 】"
何謂糖尿病,https://www.ca2-health.com/mets?p=1546,"何謂糖尿病 何謂糖尿病？ 一種以血糖上升為特點的慢性代謝性疾病，體內因胰島素分泌不足或胰島素作用障礙(抗阻)，使得葡萄糖無法有效率的進入細胞內被利用，而引起血液葡萄糖濃度增高的疾病，典型的症狀為吃多、喝多、尿多、體重減少（三多一少），因病人尿中有糖份，因此稱為糖尿病。 什麼是胰島素？ 胰島素是胰臟(位於胃後方)的貝它細胞所製造的賀爾蒙，可將血液中的葡萄糖帶入細胞內，因此，可降低血液中葡萄糖的濃度。 糖尿病01 胰臟的位置及構造 胰島素於西元1921年由加拿大多倫多大學班亭(Banting,圖右)及其助理倍斯特(Best,圖左)從狗的胰臟分離出來。因為胰島素的發現，第1型糖尿病患者得以存活，此劃時代的偉大發現，1923年班亭榮獲諾貝爾獎。目前，美國糖尿病學會也設立「班亭獎」，頒給當年對糖尿病研究最有貢獻的學者。 糖尿病02 西元1922年3歲的湯瑪斯為全世界第一位接受胰島素治療的第1型糖尿病患者，從圖片可以很明顯看出，數週後湯瑪斯由乾乾癟癟變成白白胖胖的小男孩"
妊娠糖尿病篩檢,https://www.ca2-health.com/obst?p=1748,如果有妊娠糖尿病，早期可能會造成胎兒畸形、流產等，晚期會造成胎兒過大、難產，生產的併發症也會上升，新生兒出生後可能出現血糖過低或呼吸系統問題。對產婦來說，妊娠糖尿病可能會造成酮酸中毒，也有可能引起妊娠毒血症。若能提早診斷妊娠糖尿病，及早開始飲食的控制或藥物介入，及配合，才能讓母胎均安。 根據美國婦產科醫學會(ACOG)的妊娠糖尿病指引，所有的產婦都應該要接受妊娠糖尿病篩檢，不論是經由病史詢問、危險因子評估或抽血數據都是篩檢的方法。至於篩檢的方法要怎麼做最好，目前還沒有公認的答案。 有很多的危險因子都可能會增加妊娠糖尿病的發生，包括年紀越大、種族、肥胖、家族中有糖尿病史、之前懷孕曾有妊娠糖尿病。 目前妊娠糖尿病的抽血篩檢有兩種做法，一種是兩階段的篩檢，另一種是一階段的篩檢。 篩檢的時間點一般選在24~28週執行，不過仍要評估每個產婦的危險因子，高風險的產婦若能早期診斷，才能早期治療與控制，才能減少併發症發生。 二階段的篩檢 一階段的篩檢 的血糖值篩檢方法為一階段的75克葡萄糖篩檢，為自費檢查。 一階段妊娠糖尿病篩檢的檢查流程如下： 【撰文/ 婦產部 】
每日吃早餐的兒童不易患糖尿病,https://www.ca2-health.com/children?p=2992,"既往有證據顯示，不吃早餐的成人罹患糖尿病風險較高。近期，英國一項研究將這種關聯性擴展至兒童。該觀察性研究表明，每日吃早餐的 9-10 歲兒童餐後血糖和胰島素水準更低 (尤其是早餐富含高纖維穀類)，這些兒童鮮有罹患 2 型糖尿病的其他危險因素。但早餐與糖尿病風險的相關性機制尚不明確。相關論文發表于美國《公共科學圖書館·醫學》(PLOS MED)。 研究者們納入了英國 4,116 例上小學的受試者，超過 3,000 名兒童表示每日吃早餐，幾乎每日吃早餐、偶爾吃早餐和幾乎不吃早餐的受試者分別為 450 例、372 例和 238 例。 Regular Breakfast Consumption and Type 2 Diabetes Risk Markers in 9- to 10-Year-Old Children in the Child Heart and Health Study in England (CHASE): A Cross-Sectional Analysis. DOI: 1371/journal.pmed.1001703 【資料來源： 衛教健康分享網】"
淺談糖尿病足的評估與治療,https://www.ca2-health.com/mets?p=2550,糖尿病足部潰瘍每年的發生率約3%，這是一種因為長期血糖控制不佳而引起的下肢病變。糖尿病患受到感覺運動神經病變及周邊動脈血管疾病的影響，足部的感覺、運動、循環功能與結構出現異常，致使足部容易產生傷口與感染。若傷口持續惡化，演變成潰瘍與壞死，嚴重時甚至必須截肢。 一、治療糖尿病足須做哪些評估？ 當患者因糖尿病足而接受治療時，除了要做詳細的全身系統檢查，將年紀、活動度、原有疾病及控制狀況都列入考慮之外，足部血管狀況評估及局部傷口情形更是重要。會在綜合評估之後，再擬訂整體的詳細治療計畫。 至於評估足部血管有無異常，首先必須檢查足背動脈與脛後動脈脈搏是否存在，可做ABI(Ankle Brachial Index)檢測，亦即測量足背動脈與脛後動脈收縮壓與肱動脈的比值，若ABI小於9，則要懷疑可能有動脈阻塞疾病。在此必須強調的是，ABI只是初略檢查，因為快速簡單方便，並且不會造成病人任何不適，所以可用於大量篩選，但精確度不足，血管病變位置及情況無法正確得知。因此，若有疑問須進一步以超音波或血管攝影加電腦斷層來做最後確診。 二、傷口臨床分期的兩大分類系統 在評估傷口時需要有相當的經驗，有時光由外觀無法正確了解傷口情形，就要藉助電腦斷層攝影或磁振造影來進一步診斷。整體評估後，便要決定治療先後順序、對預後的預測，並且詳細告知病人及家屬。 三、在不同狀況下採取的治療方式 四、的「糖尿病足及周邊動脈病變治療團隊」 我們也對兩年來治療的病人做了一些統計，由2011年1月至2013年2月，全院共治療322名因糖尿病足接受手術的病人。其中有周邊動脈血管疾病者109人，占9%；有周邊動脈血管疾病合併洗腎者30人，占 7%%。322中有25 人施行血管疏通灌流手術，占81%；29人施行膝上(2人)或膝下(27人)截肢手術，占4%。此外，25人做了血管疏通灌流手術後，有7人仍須施行膝下截肢術；有周邊動脈血管疾病合併洗腎患者中有6人接受膝下截肢手術，1人做膝上截肢手術，占總截肢數3%(7/29)，占總人數3% (7/322)。 由上述統計看來，有周邊動脈血管疾病合併洗腎患者的預後最差，膝上或膝下截肢的比例也最高。做過血管疏通灌流手術後，仍有7人必須做膝下截肢術，顯示血管疏通灌流手術並非萬能。畢竟這是一個複雜多變的疾病，絕不是單純任何一種方式或單一藥物就可治癒的
