標題,問題,回答
 馬桶有螞蟻?,最近發現在我租的處所廁所馬桶裡的水都會有螞蟻，起初我以為是不是我得了糖尿病引來的，但是後來我馬桶水沖了好多次，也用蓮蓬頭沖洗馬桶了，但是還是有螞蟻喜歡跑進馬桶水裡，請問這是什麼情況呢?,您好： 回覆您的問題。 螞蟻會親近甜的食物或相關的物質，甚而昆蟲或動物的&#30616;體。因此，貴府的馬桶有持續螞蟻的存在。可能要勞駕閣下仔細探查。 是不是有糖尿病？必須根據臨床症狀及檢驗才能確知。除了糖尿病之外，某一些疾病或異常分泌物，也會招來螞蟻。討論，再做定奪
 甜食是否也會引起身體不適?,"您好: 我最近發現,只要喝完奶茶,豆漿。等較甜的飲品,我的身體就會出現心悸,無力感等現象,但經過一個多小時後,症狀就會消失,我想要了解這跟糖尿病有關嗎?諮詢的話,應該掛那一科呢? 謝謝您撥冗回覆,祝您工作愉快 新竹綠豆",您好： 回覆您的問題。 糖尿病的症狀包括多食、多飲、多尿、體重減輕、傷口不易痊癒、口渴等等。如果出現急性的併發症，會發生糖尿病酮酸中毒或高血糖高滲透壓非酮酸性昏迷；如果是慢性的併發症，就可能出現視力模湖、手麻腳麻、心臟病、慢性腎衰竭、腦缺氧、上腹不適等等症狀。 閣下喝完奶茶、豆漿等甜品，會出現心悸、無力感的現象。除了考慮是否為糖尿病之外，還要注意腸胃的問題、有否接受過手術、內分泌問題、身體本身的其他疾病等等。 因此，討論為宜
 糖尿病洗血有效,"糖尿病洗血有幫助嗎,日子久了是否會有後遺症?",糖尿病分成四大類，只有第1型的糖尿病因是自體抗元抗體反應引起的，故「洗血」把抗體洗掉，理論上可減輕免疫反應，而改善糖尿病的症狀，但終生都必須接受「洗血」過程當然也會有併發症發生（如動靜脈廔管引起的心衰竭，或敗血的可能…等。另外龐大的費用（短期內健保局不可能給付）也非一般人擔當得起。但這是一種新技術，相信將來有一天，研究者絕對可以發展出一套經濟有效又最少副作用的血洗糖尿病方法。 陳景文
 胃繞道與糖尿病,新聞上有播施行胃繞道手術可治療第二型糖尿病 Q1:是真的嗎 Q2:衛生署有核可這樣的手術嗎? Q3:是核可的? Q4:臨床試驗階段可以向病患收費嗎? 十分感謝,您好： 回覆您的問題 目前未聽說執行胃繞道手術足以治療第二型糖尿病 謝謝！
 請問糖尿病患者可以跑步並參加路跑嗎？,非常感恩您在百忙之中對上一個問題(#136924 請問糖尿病用藥情形？)的回覆，另外再請問糖尿病患者的日常運動可以跑步並適合參加路跑嗎？這種運動會造成血糖上升、糖尿病惡化嗎？我希望能夠透過跑步來調整控制血糖情形，能在百忙之中撥空回覆，感謝您了,"您好: 運動可提高身體對胰島素的敏感性，不僅不會造成血糖上升，反而可以促進糖份進入細胞中降低血糖濃度，強化身體對血糖的調控，也有機會減少服用藥物劑量，因此適度的運動對於糖尿病的控制有正面的幫助。但是在執行運動計畫前，必須要先了解自己的健康狀況、體能狀況、以及運動環境。 如果平時血糖控制不佳，容易有過高或過低的狀況，是不建議進行運動的。而運動時間若較長或強度較高，必須要適度補充食物以避免低血糖的發生。此外運動前要先了解平時血壓狀況，血壓過高也不建議貿然進行運動，以免誘發心血管疾病。客觀評估自身的體能狀控，不要過度勉強，在超出體力負荷前進行適度的休息。盡量選擇安全、人多的地方運動，萬一身體不適時可以即時尋求旁人協助。，穿著合腳的運動鞋與襪子，不要穿拖鞋、涼鞋或者打赤腳。運動中與結束後要補充足夠的水分。 建議可以根據美國運動醫學會(ACSM)公布的運動指引FITT來擬訂運動計畫，同時在運動過程中，慢慢摸索出適合自己的運動強度、時間與運動頻率。 FITT為：運動頻率(Frequency, F)，美國糖尿病醫學會建議每周至少做天的阻力運動，加上至少150分鐘的中強度有氧運動。一次的有氧運動可以增加胰島素敏感性的影響約48小時，最好一周運動5天，一天30分鐘為佳。運動強度(Intensity, I)，運動強度可簡單分類為低、中、高三種，一般糖尿病沒有併發症患者，建議可從中等強度開始執行。中等強度的簡易判斷方法為：運動過程中可順利說話，但是唱歌會喘。養成運動習慣後，再慢慢的增加強度為運動時說話會喘的強度。運動時間(Time, T)，運動時間建議在飯後2小時最佳，避免空腹運動導致低血糖的情況發生。若是習慣在早餐前運動者，請先吃少量的食物，以免發生低血糖。每次運動建議要有分鐘的暖身與緩和運動，避免運動傷害的發生。運動類型(Type, T)，運動項目可以簡易分為有氧運動和阻力運動，有氧運動相較於阻力運動期乳酸產生較少，對於長期血糖控制不佳 (隨機血糖>250mg/dL) 者較無高乳酸血症的風險發生。有氧運動項目包含：走路、快走、騎腳踏車、游泳、爬樓梯、土風舞等；阻力運動包含：舉重、壺鈴、啞鈴等"
 糖尿病，手腳的壞疽的處理,您好： 我家人58歲，先前敗血症休克， 導致一手一腳的趾頭壞死黑掉， 腳的循環很差。 當時也不建議截肢建議等待脫落 但我還是希望能夠恢復活動，能夠不要臥床 想請問是否只能等自然脫落呢？,有關糖尿病患的肢體壞疽處理，需諮詢整型外科或骨科，謝謝詢問
 糖耐測試,您好：進行糖耐測試，檢驗結果如下：糖化血色素5，OGTT：AC—96；30分—167；60分—212；90分—174；120分—132。表示身體葡萄糖耐受不良，為糖尿病前期。幾個問題： 一、糖尿病診斷標準有一項為『隨機血糖超過200』，本次測試服用葡萄糖60分鐘時血糖 指數突破200，是否代表已經患有糖尿病。 二、糖耐測試是否為檢測糖尿病單一方式中準確性最高的方法。 三、糖化血色素的數值為近三個月的血糖值平均，用來作為糖尿病檢測的準確性為何。 本次檢測的糖化血色素5，代表血糖平均值約111，感覺對應上面檢測的數據，似乎 不該只有5，本身的血紅素偏低，接近正常值下限，是否有可能是此原因造成的結 果。 四、有看過吃無糖黑巧克力可以有變控制血糖，此說法是否已經過實證。另外，針對血 糖控制，您提出專業的建議。 您撥冗解惑，並不吝提出建議。您了！感恩！,您好： 葡萄糖耐受不良(IGT)與胰島素早期及晚期分泌不足較相關，OGTT若有異常，可再隔日確認一次。 糖尿病的診斷標準： 糖尿病症狀加上血漿葡萄糖濃度>=200mg/dl(多尿、多喝、體重下降) 空腹8小時以上血糖>=126mg/dl OGTT後二小時血糖>=200mg/dl 糖化血色素5少於7%應屬正常。 吃高純度巧克力，研究發現能降低糖化血色素，促進胰島素分泌，減少30%糖尿病發生率。 感謝您的來信~~
 糖尿病問題,雙親都有糖尿病，二位姊姊也都已確診糖尿病，因此平時就有運動的習慣及注意清淡飲食。新陳代謝科就醫，抽血檢查飯前血糖114糖化血色素8，醫囑每年追蹤檢查。平時就有注意運動及飲食，此檢查結果是否可解釋成已是糖尿病者只是控制的不錯。已經幾乎每天走路或爬山或騎自行車等運動，飲食也以清淡及吃糙米為主，如此尚有那些努力空間？因每天一起床就喝500cc的白開水，抽血當天亦同，如此是否會影響檢查結果，造成誤差？感謝您!,糖化血紅素8可診斷為糖尿病前期 臺灣人常吃太多水果導至血糖高，要注意水果別攝取過量 抽血應絕對空腹八小時，不應喝500毫升水
 糖尿病的問題,想請問你，我爸他有糖尿病 也有吃藥控制，最近體重又下降 爸爸還說沒有胃口，看到桌上的飯菜就吃不下 是吃藥的關係還是有另外的病徵兆?? 詳細說明?? 的解答謝謝,有些糖尿病口服藥物會有腹脹的副作用，也可能會輕微的體重下降。 若下降得太多需考慮是否血糖太高造成脫水，當然其他的疾病也可能造成體重下降。建議回門診進一步確定
 糖尿病疑問,您好1為什麼糖尿病會引起腎臟萎縮尿毒症2尿毒症有什麼症狀,"您好: 分別回覆您的二個問題 一.代謝因素和血液動力學的變化是影響糖尿病腎臟病變的最主要原因：高血糖的作用改變了腎絲球和腎小管的回饋控制，產生異常的葡萄糖代謝路徑，導致腎絲球內基質擴張，基底膜流失；腎素-血管張力素-醛固酮系統、兒茶酚胺和前列腺素的改變，使得血壓升高、提高腎絲球壓力、增加腎臟負擔；以上一連串的反應影響細胞內傳遞物質的改變，產生細胞激素和生長因子，進而引起糖尿病腎臟病變和相關的併發症。 二.每一個尿毒症病人的臨床症狀並不是一樣的。症狀是隨病人腎小球濾過率的喪失而有所不同。同時也會隨著病人原先已有的疾病如糖尿病或心臟血管疾病之不同，而有所差異。一般外觀可看到一臉久病的病容以及蒼黃的臉色，顯得營養不良身體消瘦的樣子。電解質及酸鹼值的障礙。心臟血管症狀：高血壓;充血性心臟衰竭;肺水腫;心包膜炎。的胸膜炎。胃腸的障礙：食慾不振、噁心、嘔吐、腹瀉及打嗝是常見的胃腸症狀。血液學的問題：貧血及不正常的出血。骨骼疾病：纖維性骨炎;軟骨症;骨質硬化;骨質疏鬆症。8內分泌異常：次發性副甲狀腺機能亢進。尿毒性腦神經病變：開始發生的時候，病人會出現疲倦、神情呆滯、精神不振、注意力集中障礙，最普遍的早期症狀是失眠或增加睡眠的需要。記憶力輕微障礙及行為異常可能發生，這些異常會慢慢地加重與惡化。尿毒性病周圍神經病變：主要侵犯下肢，但是亦可侵犯上肢， 其特徵是遠端的、對稱的、感覺及運動混合性的多數神經病變。皮膚症狀：廣泛性色素沈著過多及皮膚搔癢。 謝謝您的提問,祝您健康!"
